pid,uid,title,regex,county
機場捷運A7合宜住宅出租單元,3.80.36.1 3.80.11,機場,A7,taoyuan
中路一號社會住宅,3.80.36.1 3.80.11,中路,一,taoyuan
中路三號社會住宅,3.80.36.1 3.80.11,中路,三,taoyuan
中路四號社會住宅,3.80.36.1 3.80.11,中路,四,taoyuan
東門段208-1地號都市更新事業(東門停車場),3.80.36.1 3.80.11,東門段,,taoyuan
中壢一號社會住宅,3.80.36.1 3.80.11,中壢,一,taoyuan
中壢老小段100地號都市更新事業(中興巷警察宿舍),3.80.36.1 3.80.11,中壢,老,taoyuan
平鎮一號社會住宅,3.80.36.1 3.80.11,平鎮,一,taoyuan
八德一號社會住宅,3.80.36.1 3.80.11,八德,一,taoyuan
八德二號社會住宅,3.80.36.1 3.80.11,八德,二,taoyuan
八德三號社會住宅,3.80.36.1 3.80.11,八德,三,taoyuan
楊梅一號社會住宅- 第一期,3.80.36.1 3.80.11,楊梅,一,taoyuan
蘆竹一號社會住宅,3.80.36.1 3.80.11,蘆竹,一,taoyuan
蘆竹二號社會住宅,3.80.36.1 3.80.11,蘆竹,二,taoyuan
航空城安置住宅- A11,3.80.36.1 3.80.11,航空城,11,taoyuan
航空城安置住宅- A18,3.80.36.1 3.80.11,航空城,18,taoyuan
航空城安置住宅- G17,3.80.36.1 3.80.11,航空城,17,taoyuan
中壢區雙嶺段1283、1284地號,3.80.36.1 3.80.11,雙嶺,,taoyuan
大溪區仁武段13、14地號,3.80.36.1 3.80.11,仁武,,taoyuan
南富台新村,3.80.36.1 3.80.11,南富台,,taoyuan
北富台新村,3.80.36.1 3.80.11,北富台,,taoyuan
慈安社會住宅(平寮段),3.80.36.1 3.80.11,慈安,,taoyuan
龍慈社會住宅(福德段),3.80.36.1 3.80.11,龍慈,,taoyuan
龍岡體育園區,3.80.36.1 3.80.11,龍岡,,taoyuan
捷運A20站-第一期,3.80.36.1 3.80.11,捷運,20.*一,taoyuan
捷運A20站-第二期,3.80.36.1 3.80.11,捷運,20.*二,taoyuan
捷運A21站,3.80.36.1 3.80.11,捷運,21,taoyuan
中壢區內壢段,3.80.36.1 3.80.11,內壢,,taoyuan
楊梅一號社會住宅- 第二期,3.80.36.1 3.80.11,楊梅,一.*二,taoyuan
捷運A10站-第一期,3.80.36.1 3.80.11,捷運,10.*一,taoyuan
捷運A10站-第二期,3.80.36.1 3.80.11,捷運,10.*二,taoyuan
蘆竹區大興段,3.80.36.1 3.80.11,大興,,taoyuan
龜山區善捷段,3.80.36.1 3.80.11,善捷,,taoyuan
龜山區樂捷段,3.80.36.1 3.80.11,樂捷,,taoyuan
龜山中興段,3.80.36.1 3.80.11,中興段,,taoyuan
大溪區田心子段,3.80.36.1 3.80.11,田心子,,taoyuan
光正段一期,3.87.36 3.87.36.1,光正,一,taichung
精密機械科技創新園區「勞工住宅」社區,3.87.36 3.87.36.1,精密機械,,taichung
安康段一期,3.87.36 3.87.36.1,安康,一,taichung
北屯段,3.87.36 3.87.36.1,北屯,,taichung
同榮段,3.87.36 3.87.36.1,同榮,,taichung
育賢段一期,3.87.36 3.87.36.1,育賢,一,taichung
育賢段二期,3.87.36 3.87.36.1,育賢,二,taichung
南屯區建功段26地號,3.87.36 3.87.36.1,建功,26,taichung
南屯區建功段4-1地號,3.87.36 3.87.36.1,建功,4.*1,taichung
安康段二期,3.87.36 3.87.36.1,安康,二,taichung
尚武段,3.87.36 3.87.36.1,尚武,,taichung
三民段一期,3.87.36 3.87.36.1,三民,一,taichung
寶文段50-20地號,3.87.36 3.87.36.1,寶文,,taichung
惠來厝段,3.87.36 3.87.36.1,惠來,,taichung
光正段二期,3.87.36 3.87.36.1,光正,二,taichung
永億段,3.87.36 3.87.36.1,永億,,taichung
太平區,3.87.36 3.87.36.1,太平區,,taichung
東勢子段,3.87.36 3.87.36.1,東勢子,,taichung
國安段一期,3.87.36 3.87.36.1,國安,一,taichung
豐原火車站後站都更案,3.87.36 3.87.36.1,豐原,,taichung
練武段,3.87.36 3.87.36.1,練武,,taichung
烏日區新榮和段,3.87.36 3.87.36.1,新榮和,,taichung
小東路北側基地公營住宅,3.95.36,小東路,,tainan
精忠二村更新案,3.95.36,精忠,土地|,tainan
平實營區更新案第一期,3.95.36,平實,一,tainan
平實營區更新案第二期,3.95.36,平實,二,tainan
平實營區更新案第三期,3.95.36,平實,三,tainan
二空新村更新案(A 區)第一期,3.95.36,二空,一,tainan
二空新村更新案(B 區)第二期,3.95.36,二空,二,tainan
前金警察宿舍,3.97.36 ,前金,,kaohsiung
鳳山共合宅,3.97.36 ,鳳山,,kaohsiung
五甲國宅公共出租住宅,3.97.36,五甲,,kaohsiung
凱旋青樹(苓雅區機關用地11第一期社會暨安置住宅),3.97.36,凱旋,,kaohsiung
光華段一小段1664 地號,3.97.36,光華,,kaohsiung
新都段公營出租住宅,3.97.36,新都,,kaohsiung
高松一小段1232地號,3.97.36,高松,,kaohsiung
大公段,3.97.36,大公,,kaohsiung
藍田街宿舍(第一期及第二期),3.76.48,藍田,,nantou
南投市青年住宅(含社會住宅)興建計畫(二期),3.76.48,南投市,南投市[^藍田],nantou
安居家園,3.76.54,安居家園,,taitung
案山段197地號,3.76.56,案山,,penghu
東橋段601地號,3.13.30.50,東橋,,hsinchu
尚義社會住宅興建案,3.71.2,尚義,,kinmen
南竿仁愛段社會住宅,3.71.3,南竿,,lienchiang
