pid,uid,title,regex,county,latlngs
土城明德(23),3.82.11.1 3.82.28,明德,,new_taipei,24.980139 121.451203
永和中正橋青年社會住宅,3.82.11.1 3.82.28,中正橋,,new_taipei,25.016478 121.51573;25.016554 121.515322
五股芳洲(203)青年社會住宅,3.82.11.1 3.82.28,芳洲,,new_taipei,25.08655 121.444099
中和安邦段青年社會住宅,3.82.11.1 3.82.28,安邦,,new_taipei,24.999339 121.49497
中和保二基地警消專案社宅,3.82.11.1 3.82.28,保二,,new_taipei,24.99185 121.514569
新店民安段青年社會住宅,3.82.11.1 3.82.28,民安,,new_taipei,24.964459 121.514786
土城永和段青年社會住宅,3.82.11.1 3.82.28,永和段,,new_taipei,24.964179 121.435766
土城大安段青年社會住宅,3.82.11.1 3.82.28,大安段,,new_taipei,24.966147 121.438884
三峽國光二期青年社會住宅,3.82.11.1 3.82.28,國光,二,new_taipei,24.938717 121.374835;24.938279 121.374921;24.938347 121.375554;24.937676 121.376241
泰山中山段青年社會住宅,3.82.11.1 3.82.28,中山段,,new_taipei,25.029897 121.419775
板橋江翠(96)青年社會住宅,3.82.11.1 3.82.28,江翠,96,new_taipei,25.034265 121.472139
江翠段65地號,3.82.11.1 3.82.28,江翠段,65,new_taipei,25.035677 121.471796
江翠段151地號,3.82.11.1 3.82.28,江翠段,151,new_taipei,25.033718 121.467139
新都段83地號,3.82.11.1 3.82.28,新都段,83,new_taipei,25.027313 121.454098
環翠段108地號,3.82.11.1 3.82.28,環翠段,108,new_taipei,25.030247 121.481334
五谷王段297地號,3.82.11.1 3.82.28,五谷王段,297,new_taipei,25.049765 121.47677
富貴段324、331地號,3.82.11.1 3.82.28,富貴段,324.*331,new_taipei,25.090872 121.48962
中路二號社會住宅,3.80.36.1 3.80.11,中路,二,taoyuan,24.999418 121.297231
機場捷運A7合宜住宅出租單元,3.80.36.1 3.80.11,機場,A7,taoyuan,25.041486 121.389296;25.040747 121.388448;25.039231 121.389135;25.039892 121.3926
中路一號社會住宅,3.80.36.1 3.80.11,中路,一,taoyuan,25.007848 121.28798
中路三號社會住宅,3.80.36.1 3.80.11,中路,三,taoyuan,25.007362 121.285395
中路四號社會住宅,3.80.36.1 3.80.11,中路,四,taoyuan,25.007928 121.286882
"東門段208-1地號都
 市更新事業(東門停
 車場)",3.80.36.1 3.80.11,東門段,,taoyuan,24.993045 121.314516
中壢一號社會住宅,3.80.36.1 3.80.11,中壢,一,taoyuan,24.935435 121.254896
"中壢老小段100地號
 都市更新事業(中興
 巷警察宿舍)",3.80.36.1 3.80.11,中壢,老,taoyuan,24.954963 121.220615
平鎮一號社會住宅,3.80.36.1 3.80.11,平鎮,一,taoyuan,24.910431 121.207968
八德一號社會住宅,3.80.36.1 3.80.11,八德,一,taoyuan,24.926642 121.280584
八德二號社會住宅,3.80.36.1 3.80.11,八德,二,taoyuan,24.927396 121.289027
八德三號社會住宅,3.80.36.1 3.80.11,八德,三,taoyuan,24.925397 121.283692
楊梅一號社會住宅- 第一期,3.80.36.1 3.80.11,楊梅,一,taoyuan,24.914069 121.185871
蘆竹一號社會住宅,3.80.36.1 3.80.11,蘆竹,一,taoyuan,25.021471 121.256045
蘆竹二號社會住宅,3.80.36.1 3.80.11,蘆竹,二,taoyuan,25.025118 121.256369
航空城安置住宅- A11,3.80.36.1 3.80.11,航空城,11,taoyuan,25.085583 121.2709;25.085389 121.272777
航空城安置住宅- A18,3.80.36.1 3.80.11,航空城,18,taoyuan,25.021176 121.20766;25.021847 121.208358;25.020544 121.208025;25.021477 121.20913
航空城安置住宅- G17,3.80.36.1 3.80.11,航空城,17,taoyuan,25.045893 121.221317;25.044775 121.22136;25.044085 121.221714
中壢區雙嶺段1283、1284地號,3.80.36.1 3.80.11,雙嶺,,taoyuan,24.962833 121.164834
大溪區仁武段13、14地號,3.80.36.1 3.80.11,仁武,,taoyuan,24.896371 121.283296
南富台新村,3.80.36.1 3.80.11,南富台,,taoyuan,24.937695 121.25406
北富台新村,3.80.36.1 3.80.11,北富台,,taoyuan,24.94179 121.251989;24.942247 121.252788
慈安社會住宅(平寮段),3.80.36.1 3.80.11,慈安,,taoyuan,24.934414 121.258754
龍慈社會住宅(福德段),3.80.36.1 3.80.11,龍慈,,taoyuan,24.935478 121.245071
龍岡體育園區,3.80.36.1 3.80.11,龍岡,,taoyuan,24.942423 121.23572;24.94861 121.241428
捷運A20站-第一期,3.80.36.1 3.80.11,捷運,20.*一,taoyuan,24.980441 121.219937
捷運A20站-第二期,3.80.36.1 3.80.11,捷運,20.*二,taoyuan,24.980441 121.219937
捷運A21站,3.80.36.1 3.80.11,捷運,21,taoyuan,24.968065 121.225171
中壢區內壢段,3.80.36.1 3.80.11,內壢,,taoyuan,25.003932 121.227592
楊梅一號社會住宅- 第二期,3.80.36.1 3.80.11,楊梅,一.*二,taoyuan,24.914003 121.185903
捷運A10站-第一期,3.80.36.1 3.80.11,捷運,10.*一,taoyuan,25.079802 121.288893;25.078257 121.282262;25.078733 121.285303
捷運A10站-第二期,3.80.36.1 3.80.11,捷運,10.*二,taoyuan,25.079802 121.288893;25.078257 121.282262;25.078733 121.285303
蘆竹區大興段,3.80.36.1 3.80.11,大興,,taoyuan,25.01586 121.260673
龜山區善捷段,3.80.36.1 3.80.11,善捷,,taoyuan,25.038372 121.393173
龜山區樂捷段,3.80.36.1 3.80.11,樂捷,,taoyuan,25.044788 121.399129
龜山中興段,3.80.36.1 3.80.11,中興段,,taoyuan,24.991472 121.331708
大溪區田心子段,3.80.36.1 3.80.11,田心子,,taoyuan,24.880076 121.289317
光正段一期,3.87.36 3.87.36.1,光正,一,taichung,24.091945 120.727945
精密機械科技創新園區「勞工住宅」社區,3.87.36 3.87.36.1,精密機械,,taichung,24.147916 120.607615
安康段一期,3.87.36 3.87.36.1,安康,一,taichung,24.240921 120.72267
北屯段,3.87.36 3.87.36.1,北屯,,taichung,24.163145 120.696844
同榮段,3.87.36 3.87.36.1,同榮,,taichung,24.197497 120.664093;24.197659 120.665274;24.19811 120.665799
